sample_timepoint_id	experiment_id	species_scientific	species_common	taxonomy_id	cell_line_or_tissue	sample_name_original	sample_name_standardized	genotype_or_construct	synchronization_method	synchronization_reagent	synchronization_dose	synchronization_duration	arrest_point	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	phase_evidence_rule	pooled_status	evidence_ids	notes	condition_id	replicate_id	batch_id	gsm_accession	archive_sample_id
ST-P0001-004	EX-P0001-001	Homo sapiens	human	9606	NR	E-MTAB-1948:CCHiC-K562-M-R1-fastq	SAMEA2220310	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-004	R-P0001-004	B-P0001-004	NO_GEO_ERR351514	AS-P0001-004
ST-P0001-005	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	SAMEA3309444	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-005	R-P0001-005	B-P0001-005	NO_GEO_ERR792487	AS-P0001-005
ST-P0001-006	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-1FA	SAMEA3309438	NR	NR	NR	NR	NR	NR	NR	NR	NA	G1	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-006	R-P0001-006	B-P0001-006	NO_GEO_ERR792488	AS-P0001-006
ST-P0001-007	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3-M-R2	SAMEA3309443	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-007	R-P0001-007	B-P0001-007	NO_GEO_ERR792489	AS-P0001-007
ST-P0001-008	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3-M-R1	SAMEA3309439	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-008	R-P0001-008	B-P0001-008	NO_GEO_ERR792490	AS-P0001-008
ST-P0001-009	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-98percent	SAMEA3309441	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-009	R-P0001-009	B-P0001-009	NO_GEO_ERR792491	AS-P0001-009
ST-P0001-010	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-G1-0.25FA	SAMEA3309442	NR	NR	NR	NR	NR	NR	NR	NR	NA	G1	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-010	R-P0001-010	B-P0001-010	NO_GEO_ERR792492	AS-P0001-010
ST-P0001-011	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R2	SAMEA3309440	NR	NR	NR	NR	NR	NR	NR	NR	NA	mid G1	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-011	R-P0001-011	B-P0001-011	NO_GEO_ERR792493	AS-P0001-011
ST-P0001-012	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3-G1mid-R1	SAMEA3309445	NR	NR	NR	NR	NR	NR	NR	NR	NA	mid G1	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-012	R-P0001-012	B-P0001-012	NO_GEO_ERR792494	AS-P0001-012
ST-P0001-013	EX-P0001-001	Homo sapiens	human	9606	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-1FA	SAMEA3309446	NR	NR	NR	NR	NR	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	Conservative parse from ENA sample_alias plus prior P0001 pilot stage list; exact sample-level timing remains unresolved.	NR	E-P0001-001|E-P0001-003	Light expansion only; no GEO sample exists, so gsm_accession stores an explicit NO_GEO surrogate label for table uniqueness.	C-P0001-013	R-P0001-013	B-P0001-013	NO_GEO_ERR792495	AS-P0001-013
ST-P0006-001	EX-P0006-001	Mus musculus	mouse	10090	TCC_WT	HiC-TCC_WT_Rep1	GSM2453279	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-001	R-P0006-001	B-P0006-001	GSM2453279	AS-P0006-001
ST-P0006-002	EX-P0006-001	Mus musculus	mouse	10090	TCC_WT	HiC-TCC_WT_Rep2	GSM2453280	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-002	R-P0006-002	B-P0006-002	GSM2453280	AS-P0006-002
ST-P0006-003	EX-P0006-001	Mus musculus	mouse	10090	TCC_TAM	HiC-TCC_TAM_Rep1	GSM2453281	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-003	R-P0006-003	B-P0006-003	GSM2453281	AS-P0006-003
ST-P0006-004	EX-P0006-001	Mus musculus	mouse	10090	TCC_TAM	HiC-TCC_TAM_Rep2	GSM2453282	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-004	R-P0006-004	B-P0006-004	GSM2453282	AS-P0006-004
ST-P0006-005	EX-P0006-001	Mus musculus	mouse	10090	TCC_NIPBL	HiC-TCC_NIPBL_Rep1	GSM2453283	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-005	R-P0006-005	B-P0006-005	GSM2453283	AS-P0006-005
ST-P0006-006	EX-P0006-001	Mus musculus	mouse	10090	TCC_NIPBL	HiC-TCC_NIPBL_Rep2	GSM2453284	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-006	R-P0006-006	B-P0006-006	GSM2453284	AS-P0006-006
ST-P0006-007	EX-P0006-001	Mus musculus	mouse	10090	H3K4me3_WT	ChIPseq_H3K4me3_WT	GSM2453285	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-007	R-P0006-007	B-P0006-007	GSM2453285	AS-P0006-007
ST-P0006-008	EX-P0006-001	Mus musculus	mouse	10090	H3K27ac_WT	ChIPseq_H3K27ac_WT	GSM2453286	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-008	R-P0006-008	B-P0006-008	GSM2453286	AS-P0006-008
ST-P0006-009	EX-P0006-001	Mus musculus	mouse	10090	Input_WT	ChIPseq_Input_histone_WT	GSM2453287	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-009	R-P0006-009	B-P0006-009	GSM2453287	AS-P0006-009
ST-P0006-010	EX-P0006-001	Mus musculus	mouse	10090	H3K4me3_NIPBL	ChIPseq_H3K4me3_NIPBL	GSM2453288	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-010	R-P0006-010	B-P0006-010	GSM2453288	AS-P0006-010
ST-P0006-011	EX-P0006-001	Mus musculus	mouse	10090	H3K27ac_NIPBL	ChIPseq_H3K27ac_NIPBL	GSM2453289	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-011	R-P0006-011	B-P0006-011	GSM2453289	AS-P0006-011
ST-P0006-012	EX-P0006-001	Mus musculus	mouse	10090	Input_NIPBL	ChIPseq_Input_histone_NIPBL	GSM2453290	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-012	R-P0006-012	B-P0006-012	GSM2453290	AS-P0006-012
ST-P0006-013	EX-P0006-001	Mus musculus	mouse	10090	WT	RNAseq_WT_Rep1	GSM2453291	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-013	R-P0006-013	B-P0006-013	GSM2453291	AS-P0006-013
ST-P0006-014	EX-P0006-001	Mus musculus	mouse	10090	WT	RNAseq_WT_Rep2	GSM2453292	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-014	R-P0006-014	B-P0006-014	GSM2453292	AS-P0006-014
ST-P0006-015	EX-P0006-001	Mus musculus	mouse	10090	WT	RNAseq_WT_Rep3	GSM2453293	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-015	R-P0006-015	B-P0006-015	GSM2453293	AS-P0006-015
ST-P0006-016	EX-P0006-001	Mus musculus	mouse	10090	WT	RNAseq_WT_Rep4	GSM2453294	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-016	R-P0006-016	B-P0006-016	GSM2453294	AS-P0006-016
ST-P0006-017	EX-P0006-001	Mus musculus	mouse	10090	TAM	RNAseq_TAM_Rep1	GSM2453295	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-017	R-P0006-017	B-P0006-017	GSM2453295	AS-P0006-017
ST-P0006-018	EX-P0006-001	Mus musculus	mouse	10090	TAM	RNAseq_TAM_Rep2	GSM2453296	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-018	R-P0006-018	B-P0006-018	GSM2453296	AS-P0006-018
ST-P0006-019	EX-P0006-001	Mus musculus	mouse	10090	TAM	RNAseq_TAM_Rep3	GSM2453297	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-019	R-P0006-019	B-P0006-019	GSM2453297	AS-P0006-019
ST-P0006-020	EX-P0006-001	Mus musculus	mouse	10090	TAM	RNAseq_TAM_Rep4	GSM2453298	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-020	R-P0006-020	B-P0006-020	GSM2453298	AS-P0006-020
ST-P0006-021	EX-P0006-001	Mus musculus	mouse	10090	NIPBL	RNAseq_NIPBL_Rep1	GSM2453299	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-021	R-P0006-021	B-P0006-021	GSM2453299	AS-P0006-021
ST-P0006-022	EX-P0006-001	Mus musculus	mouse	10090	NIPBL	RNAseq_NIPBL_Rep2	GSM2453300	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-022	R-P0006-022	B-P0006-022	GSM2453300	AS-P0006-022
ST-P0006-023	EX-P0006-001	Mus musculus	mouse	10090	NIPBL	RNAseq_NIPBL_Rep3	GSM2453301	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-023	R-P0006-023	B-P0006-023	GSM2453301	AS-P0006-023
ST-P0006-024	EX-P0006-001	Mus musculus	mouse	10090	NIPBL	RNAseq_NIPBL_Rep4	GSM2453302	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-024	R-P0006-024	B-P0006-024	GSM2453302	AS-P0006-024
ST-P0006-025	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_CTCF_TAM	GSM2740559	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-025	R-P0006-025	B-P0006-025	GSM2740559	AS-P0006-025
ST-P0006-026	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_CTCF_NIPBL	GSM2740560	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-026	R-P0006-026	B-P0006-026	GSM2740560	AS-P0006-026
ST-P0006-027	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Rad21_TAM	GSM2740561	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-027	R-P0006-027	B-P0006-027	GSM2740561	AS-P0006-027
ST-P0006-028	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Rad21_NIPBL	GSM2740562	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-028	R-P0006-028	B-P0006-028	GSM2740562	AS-P0006-028
ST-P0006-029	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Smc3_TAM	GSM2740563	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-029	R-P0006-029	B-P0006-029	GSM2740563	AS-P0006-029
ST-P0006-030	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Smc3_NIPBL	GSM2740564	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-030	R-P0006-030	B-P0006-030	GSM2740564	AS-P0006-030
ST-P0006-031	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Input_tf_TAM	GSM2740565	Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-031	R-P0006-031	B-P0006-031	GSM2740565	AS-P0006-031
ST-P0006-032	EX-P0006-001	Mus musculus	mouse	10090	Liver	ChIPseq_Input_tf_NIPBL	GSM2740566	Ttr-cre/Esr1(+/wt);Nipbl(flox/flox)	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0006-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0006-032	R-P0006-032	B-P0006-032	GSM2740566	AS-P0006-032
ST-P0007-001	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: G1 control sync.	GSM2747738	w.t. G1	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-001	R-P0007-001	B-P0007-001	GSM2747738	AS-P0007-001
ST-P0007-002	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Wapl RNAi	GSM2747739	Wapl-depleted	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-002	R-P0007-002	B-P0007-002	GSM2747739	AS-P0007-002
ST-P0007-003	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Pds5SA/B RNAi	GSM2747740	Pds5SA/B depletion	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-003	R-P0007-003	B-P0007-003	GSM2747740	AS-P0007-003
ST-P0007-004	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Wapl/Pds5A/B RNAi	GSM2747741	Wapl/Pds5A/B depletion	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-004	R-P0007-004	B-P0007-004	GSM2747741	AS-P0007-004
ST-P0007-005	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Pro-M control sync.	GSM2747742	w.t. Pro-M control	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-005	R-P0007-005	B-P0007-005	GSM2747742	AS-P0007-005
ST-P0007-006	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: S control sync.	GSM2747743	w.t. S control	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-006	R-P0007-006	B-P0007-006	GSM2747743	AS-P0007-006
ST-P0007-007	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: G2 control sync.	GSM2747744	w.t. G2 control	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-007	R-P0007-007	B-P0007-007	GSM2747744	AS-P0007-007
ST-P0007-008	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID control + auxin, 0 min 1	GSM2747745	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-008	R-P0007-008	B-P0007-008	GSM2747745	AS-P0007-008
ST-P0007-009	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID control + auxin, 15 min	GSM2747746	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-009	R-P0007-009	B-P0007-009	GSM2747746	AS-P0007-009
ST-P0007-010	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID control + auxin, 180 min	GSM2747747	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-010	R-P0007-010	B-P0007-010	GSM2747747	AS-P0007-010
ST-P0007-011	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID control + auxin, 0 min 2	GSM2747748	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-011	R-P0007-011	B-P0007-011	GSM2747748	AS-P0007-011
ST-P0007-012	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID control + auxin, 120 min	GSM2747749	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-012	R-P0007-012	B-P0007-012	GSM2747749	AS-P0007-012
ST-P0007-013	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: control	GSM2747750	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-013	R-P0007-013	B-P0007-013	GSM2747750	AS-P0007-013
ST-P0007-014	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: CTCF-AID control + auxin, 0 min	GSM2747751	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-014	R-P0007-014	B-P0007-014	GSM2747751	AS-P0007-014
ST-P0007-015	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: CTCF-AID control + auxin, 120 min	GSM2747752	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-015	R-P0007-015	B-P0007-015	GSM2747752	AS-P0007-015
ST-P0007-016	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID WAB + auxin, 0 min	GSM2747753	Wapl/Pds5A/B depletion	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-016	R-P0007-016	B-P0007-016	GSM2747753	AS-P0007-016
ST-P0007-017	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID WAB + auxin, 15 min	GSM2747754	Wapl/Pds5A/B depletion	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-017	R-P0007-017	B-P0007-017	GSM2747754	AS-P0007-017
ST-P0007-018	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	Hi-C: Scc1-AID WAB + auxin, 180 min	GSM2747755	Wapl/Pds5A/B depletion	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-018	R-P0007-018	B-P0007-018	GSM2747755	AS-P0007-018
ST-P0007-019	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	ChIP-Seq: SMC3 control rep1	GSM2747756	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-019	R-P0007-019	B-P0007-019	GSM2747756	AS-P0007-019
ST-P0007-020	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	ChIP-Seq: SMC3 control rep2	GSM2747757	w.t.	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-020	R-P0007-020	B-P0007-020	GSM2747757	AS-P0007-020
ST-P0007-021	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	ChIP-Seq: SMC3 WAPL-depleted rep1	GSM2747758	Wapl-depleted	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-021	R-P0007-021	B-P0007-021	GSM2747758	AS-P0007-021
ST-P0007-022	EX-P0007-001	Homo sapiens	human	9606	cervical carcinoma	ChIP-Seq: SMC3 WAPL-depleted rep2	GSM2747759	Wapl-depleted	NR	NR	NR	NR	NR	NR	NR	NA	NR	unknown	NR	NR	E-P0007-002	Round7 light pass; synchronization/timing not inferred without explicit source metadata.	C-P0007-022	R-P0007-022	B-P0007-022	GSM2747759	AS-P0007-022
