catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0008-000021	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0420	RF-P0008-SRR5938481-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938481	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938481/SRR5938481_1.fastq.gz	306374970	5870e4a62b92ad94c4d4e5932f4d1293	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000022	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0420	RF-P0008-SRR5938481-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938481	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938481/SRR5938481_2.fastq.gz	350131134	047ca813bbbf0b2c733899e13ac4f011	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000023	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0421	RF-P0008-SRR5938482-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938482	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938482/SRR5938482_1.fastq.gz	307928448	151173a2220bd468c9d050a008c0ffff	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000024	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0421	RF-P0008-SRR5938482-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938482	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938482/SRR5938482_2.fastq.gz	349339463	27e8835692b2939f865997cfe8948579	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000025	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0422	RF-P0008-SRR5938483-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938483/SRR5938483_1.fastq.gz	312970188	caf58da7e66b5ebd57a93083477fa153	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000026	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0422	RF-P0008-SRR5938483-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938483/SRR5938483_2.fastq.gz	355847686	723384ce0e5e3da9980010e48aefcc45	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000027	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0423	RF-P0008-SRR5938484-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938484	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938484/SRR5938484_1.fastq.gz	318803897	5af65b71fa0ec56b4edd8468bde25f63	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000028	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0423	RF-P0008-SRR5938484-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938484	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938484/SRR5938484_2.fastq.gz	361358690	e0abef3ab1a5658e3c231c8fb4718917	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000029	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0424	RF-P0008-SRR5938485-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938485	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938485/SRR5938485_1.fastq.gz	298209641	2ae283f94b36521b28baef277125803c	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000030	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0424	RF-P0008-SRR5938485-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938485	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938485/SRR5938485_2.fastq.gz	336093180	8971f4997ce55144108b5ca29168681a	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
