run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR13848208	SRX10229681	SAMN18128732	SRS8371874	PRJNA706396	SRP309136	GSM5133025_r1	GSM5133025	GSM5133025	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/008/SRR13848208/SRR13848208.fastq.gz	81c0f9b48a884118411b411bb06c7a30	954182505			
SRR13848210	SRX10229683	SAMN18128730	SRS8371876	PRJNA706396	SRP309136	GSM5133028_r1	GSM5133028	GSM5133028	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/010/SRR13848210/SRR13848210.fastq.gz	06f681f3de162886462ff92401067204	880593257			
SRR13848213	SRX10229686	SAMN18128726	SRS8371877	PRJNA706396	SRP309136	GSM5133033_r1	GSM5133033	GSM5133033	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/013/SRR13848213/SRR13848213.fastq.gz	41e346cac41f1b2f05369fb05653d9bc	1094387656			
SRR13848216	SRX10229689	SAMN18128723	SRS8371882	PRJNA706396	SRP309136	GSM5133036_r1	GSM5133036	GSM5133036	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/016/SRR13848216/SRR13848216.fastq.gz	268dc0640458c290f7a206cd6f1969ee	1449392585			
SRR13858333	SRX10239383	SAMN18140093	SRS8380797	PRJNA706676	SRP309311	GSM5133378_r1	GSM5133378	GSM5133378	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13858333/SRR13858333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13858333/SRR13858333_2.fastq.gz	aec11df97d518b3d51e3657d44b4ad68;83cc010e377ca9aba53b964f01959f02	2615203564;2672650326			
SRR13858334	SRX10239383	SAMN18140093	SRS8380797	PRJNA706676	SRP309311	GSM5133378_r2	GSM5133378	GSM5133378	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13858334/SRR13858334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13858334/SRR13858334_2.fastq.gz	2462a0973c4b253345416bad78a79b5a;a44f2ad25f26647992edcac9f51f9f0d	2555175067;2607871252			
SRR13858335	SRX10239383	SAMN18140093	SRS8380797	PRJNA706676	SRP309311	GSM5133378_r3	GSM5133378	GSM5133378	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13858335/SRR13858335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13858335/SRR13858335_2.fastq.gz	1cb1e740828bcd3365b1a9870fb6bf03;b758cbe4189122364d8b46de10b95657	3773587958;3864580835			
SRR13858340	SRX10239385	SAMN18140091	SRS8380799	PRJNA706676	SRP309311	GSM5133380_r2	GSM5133380	GSM5133380	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13858340/SRR13858340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13858340/SRR13858340_2.fastq.gz	ab59429ed50d6c1faab03d76a5cf151d;fb3042f8e746557d9ac3a5d070614f28	2458146836;2547726656			
SRR13858342	SRX10239386	SAMN18140090	SRS8380800	PRJNA706676	SRP309311	GSM5133381_r1	GSM5133381	GSM5133381	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13858342/SRR13858342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13858342/SRR13858342_2.fastq.gz	60e6235cab7c963b72c9e7910c53d35d;ab1bdc840136a5406d5d5c9eec5236d9	2303487920;2379730807			
SRR13858344	SRX10239386	SAMN18140090	SRS8380800	PRJNA706676	SRP309311	GSM5133381_r3	GSM5133381	GSM5133381	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/044/SRR13858344/SRR13858344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/044/SRR13858344/SRR13858344_2.fastq.gz	7f71bae1725f1610dc9416b3c7adf4bf;a1776b940cb1a994ffa6e064f2f1e69b	4004391947;4153772156			
