Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13858354,2021-06-18 17:19:36,2021-03-04 17:35:50,53497082,8024562300,53497082,150,2994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858354/SRR13858354.lite.1,SRX10239390,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380804,SAMN18140108,simple,10090,Mus musculus,GSM5133385,,,,,,,no,,,,,GEO,SRA1202964,,public,030726D68B407A641D883FB60EAF7B4F,1AD5854B69F44C6FBD0D16320AB76F5F
SRR13858355,2021-06-18 17:19:36,2021-03-04 18:03:10,55161592,8274238800,55161592,150,3127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858355/SRR13858355.lite.1,SRX10239390,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380804,SAMN18140108,simple,10090,Mus musculus,GSM5133385,,,,,,,no,,,,,GEO,SRA1202964,,public,57ED17410439255065EDF1CA917B7A06,36BE405BCDB8F35A82AF5E43AC304DFB
SRR13858356,2021-06-18 17:19:36,2021-03-04 17:47:18,88420474,13263071100,88420474,150,5008,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858356/SRR13858356.lite.1,SRX10239390,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380804,SAMN18140108,simple,10090,Mus musculus,GSM5133385,,,,,,,no,,,,,GEO,SRA1202964,,public,E75A0FE4D599E544ADF9AAEFE66B9D85,9368153F788D6B8351FA39E125EEEAD8
SRR13858357,2021-06-18 17:19:36,2021-03-04 17:41:15,72900013,10935001950,72900013,150,3987,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858357/SRR13858357.lite.1,SRX10239391,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380805,SAMN18140107,simple,10090,Mus musculus,GSM5133386,,,,,,,no,,,,,GEO,SRA1202964,,public,0E02E2DFD70887358A7BED3757E148D9,3E7F63455F759B42C7FD3DC8DBB73AD4
SRR13858358,2021-06-18 17:19:36,2021-03-04 17:28:56,43685590,6552838500,43685590,150,2583,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858358/SRR13858358.lite.1,SRX10239391,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380805,SAMN18140107,simple,10090,Mus musculus,GSM5133386,,,,,,,no,,,,,GEO,SRA1202964,,public,94EADCD2E79F9ABF321E074A49E29CDB,99B40EF4A498964C4555FC8EBDDE0D50
SRR13858359,2021-06-18 17:19:36,2021-03-04 17:50:40,61427787,9214168050,61427787,150,3487,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858359/SRR13858359.lite.1,SRX10239391,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380805,SAMN18140107,simple,10090,Mus musculus,GSM5133386,,,,,,,no,,,,,GEO,SRA1202964,,public,F92936ED7844A77D0AD1C6140B9FCB6D,527903540F88635B540F4CF22A953309
SRR15680643,2021-08-31 18:27:43,2021-08-31 18:11:09,63972807,9595921050,63972807,150,3464,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680643/SRR15680643.lite.1,SRX10239391,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380805,SAMN18140107,simple,10090,Mus musculus,GSM5133386,,,,,,,no,,,,,GEO,SRA1202964,,public,1968C120E2B01A870CC956235C99D92D,637E362769100C7DA96476884BFFC60B
SRR15680644,2021-08-31 18:27:43,2021-08-31 18:06:27,65119115,9767867250,65119115,150,3422,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680644/SRR15680644.lite.1,SRX10239391,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380805,SAMN18140107,simple,10090,Mus musculus,GSM5133386,,,,,,,no,,,,,GEO,SRA1202964,,public,6A75A25ECAB5DD901DD25264CE1C5E1C,7748101EF09C44603BBA301E880D9D75
SRR15680645,2021-08-31 18:46:22,2021-08-31 18:19:09,84104885,12615732750,84104885,150,4364,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680645/SRR15680645.lite.1,SRX10239392,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380806,SAMN18140106,simple,10090,Mus musculus,GSM5133387,,,,,,,no,,,,,GEO,SRA1202964,,public,746BBFD51ED8DEF0D9DF82E0EF969757,4CB6C9FAF7768A36EC59D159770F294D
SRR15680646,2021-08-31 18:27:43,2021-08-31 18:04:18,60473985,9071097750,60473985,150,3180,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680646/SRR15680646.lite.1,SRX10239392,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380806,SAMN18140106,simple,10090,Mus musculus,GSM5133387,,,,,,,no,,,,,GEO,SRA1202964,,public,64050D18C5C9F26E4C35C54C6DF84A27,C63CD647C9436AD351BEE67576439C9B
SRR13858360,2021-06-18 17:19:36,2021-03-04 17:42:14,49892948,7483942200,49892948,150,2811,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858360/SRR13858360.lite.1,SRX10239392,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380806,SAMN18140106,simple,10090,Mus musculus,GSM5133387,,,,,,,no,,,,,GEO,SRA1202964,,public,B106E984481288FB77CBBC19FA8361C8,6F758E9B0F4CA706279ABAB342D19E07
SRR13858361,2021-06-18 17:19:36,2021-03-04 17:36:42,55075980,8261397000,55075980,150,3146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858361/SRR13858361.lite.1,SRX10239392,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380806,SAMN18140106,simple,10090,Mus musculus,GSM5133387,,,,,,,no,,,,,GEO,SRA1202964,,public,3254DECA3D5A9E1BED86DC20ACB34FA7,6F30E063BA2B83421EE87DE70190C3C8
SRR13858362,2021-06-18 17:19:36,2021-03-04 18:12:24,86117563,12917634450,86117563,150,4912,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858362/SRR13858362.lite.1,SRX10239392,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380806,SAMN18140106,simple,10090,Mus musculus,GSM5133387,,,,,,,no,,,,,GEO,SRA1202964,,public,523B92161D9DABD93E4BCF4793B3922C,BD5FE54CB60EEF70984CDFA4DC588CFA
SRR13858363,2021-06-18 17:19:36,2021-03-05 03:42:13,133920297,20088044550,133920297,150,7597,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13858/SRR13858363/SRR13858363.lite.1,SRX10239393,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380807,SAMN18140105,simple,10090,Mus musculus,GSM5133388,,,,,,,no,,,,,GEO,SRA1202964,,public,B008EDF838FFC2A15A8BA834AE4BDAE4,208B39AAE52E8B5FC79C9B364F3AA012
SRR13858364,2021-06-18 17:19:36,2021-03-04 17:53:52,93969824,14095473600,93969824,150,5598,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858364/SRR13858364.lite.1,SRX10239393,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380807,SAMN18140105,simple,10090,Mus musculus,GSM5133388,,,,,,,no,,,,,GEO,SRA1202964,,public,ACC6739A987030F41A26514963E7FF04,BF4BB1C81436186F0A6D8364722187E2
SRR15680647,2021-08-31 18:46:22,2021-08-31 18:31:11,99039458,14855918700,99039458,150,5449,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680647/SRR15680647.lite.1,SRX10239393,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380807,SAMN18140105,simple,10090,Mus musculus,GSM5133388,,,,,,,no,,,,,GEO,SRA1202964,,public,10D48D78F742C45EA936A58BE4CECC6B,0819AADD5961A1EFDE80B1A1EE7FEAB7
SRR15680648,2021-08-31 18:27:43,2021-08-31 18:11:10,81500937,12225140550,81500937,150,4265,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680648/SRR15680648.lite.1,SRX10239394,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380808,SAMN18140104,simple,10090,Mus musculus,GSM5133389,,,,,,,no,,,,,GEO,SRA1202964,,public,086A946658EC5A2F847958CB02F63B95,B12DA012A85EF9107922DFA3CB136731
SRR15680649,2021-08-31 18:27:43,2021-08-31 17:44:22,19774757,2966213550,19774757,150,1049,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680649/SRR15680649.lite.1,SRX10239394,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380808,SAMN18140104,simple,10090,Mus musculus,GSM5133389,,,,,,,no,,,,,GEO,SRA1202964,,public,212FDCD09716E3898B368BE06769F5BC,254D869B7A54F0F4BB7798F54E7B1ED1
SRR13858365,2021-06-18 17:19:36,2021-03-05 12:30:46,55366709,8305006350,55366709,150,3248,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13858/SRR13858365/SRR13858365.lite.1,SRX10239394,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380808,SAMN18140104,simple,10090,Mus musculus,GSM5133389,,,,,,,no,,,,,GEO,SRA1202964,,public,A450D4C327A727FA4E865BF3576CC6A8,BEBEF10E52B1DFFDFF89F155A41172DF
SRR13858366,2021-06-18 17:19:36,2021-03-05 12:06:38,58876284,8831442600,58876284,150,3494,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858366/SRR13858366.lite.1,SRX10239394,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380808,SAMN18140104,simple,10090,Mus musculus,GSM5133389,,,,,,,no,,,,,GEO,SRA1202964,,public,7CBCC9657BD94D360F615DC1C64B6A98,FB2D7F5413F2D510321712DA1BEA3A4D
SRR13858367,2021-06-18 17:19:36,2021-03-04 18:24:49,75884768,11382715200,75884768,150,4369,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858367/SRR13858367.lite.1,SRX10239394,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380808,SAMN18140104,simple,10090,Mus musculus,GSM5133389,,,,,,,no,,,,,GEO,SRA1202964,,public,11AC7CE9D4905DFD5A585B97D3E6156E,A4B496CC7F3B614F36537A32006C7F61
SRR13858368,2021-06-18 17:19:36,2021-03-05 02:48:59,114093544,17114031600,114093544,150,6497,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13858/SRR13858368/SRR13858368.lite.1,SRX10239395,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380809,SAMN18140103,simple,10090,Mus musculus,GSM5133390,,,,,,,no,,,,,GEO,SRA1202964,,public,9C5B06A2B43CF75F9D1FEC85CB7D6574,CFB2F2E09C7A32A83569040A3087C4A2
