run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR27793138	PRJNA1071267	SRP486984	SRX23456800	SAMN39682088	SRS20309786	GSM8048036_r1	GSM8048036_r1	GSM8048036	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/038/SRR27793138/SRR27793138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/038/SRR27793138/SRR27793138_2.fastq.gz	37d4316f081cc8c7df7cbc8db28c5631;c4b3a6cec35c8ade1f36da602af4cce0	1241065969;1245847077			
SRR27793140	PRJNA1071267	SRP486984	SRX23456798	SAMN39682090	SRS20309784	GSM8048034_r1	GSM8048034_r1	GSM8048034	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/040/SRR27793140/SRR27793140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/040/SRR27793140/SRR27793140_2.fastq.gz	ae153158671efa2041ccaea1ddc0f690;eaf9fc4d5ae4855c0b5622f883e71275	1104671142;1106429375			
SRR27793146	PRJNA1071267	SRP486984	SRX23456792	SAMN39682096	SRS20309778	GSM8048028_r1	GSM8048028_r1	GSM8048028	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/046/SRR27793146/SRR27793146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/046/SRR27793146/SRR27793146_2.fastq.gz	1625fe8c5e5599e08cb1325f28ac731f;11634f1c10be8ec64d0914da7c208e7e	1151970456;1155003024			
SRR27793149	PRJNA1071267	SRP486984	SRX23456789	SAMN39682099	SRS20309775	GSM8048025_r1	GSM8048025_r1	GSM8048025	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/049/SRR27793149/SRR27793149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/049/SRR27793149/SRR27793149_2.fastq.gz	707a1818baf82538326c51dba941974e;b140ccc4c9fd5955e6d85fe0e082c401	1786571636;1787978003			
SRR27793150	PRJNA1071267	SRP486984	SRX23456788	SAMN39682100	SRS20309774	GSM8048024_r1	GSM8048024_r1	GSM8048024	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/050/SRR27793150/SRR27793150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/050/SRR27793150/SRR27793150_2.fastq.gz	b41004833951253793311e20bc8fdbbb;a83db650475813611d6f95115c514f80	1650727092;1652210533			
SRR27793151	PRJNA1071267	SRP486984	SRX23456787	SAMN39682101	SRS20309773	GSM8048023_r1	GSM8048023_r1	GSM8048023	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/051/SRR27793151/SRR27793151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/051/SRR27793151/SRR27793151_2.fastq.gz	d02f8aa011f7ab4d6f56fe320de6354c;a46a3c1edfa29d548dccb04c8dc99ff1	1265037631;1266470086			
SRR27793154	PRJNA1071267	SRP486984	SRX23456784	SAMN39682104	SRS20309770	GSM8048020_r1	GSM8048020_r1	GSM8048020	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/054/SRR27793154/SRR27793154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/054/SRR27793154/SRR27793154_2.fastq.gz	c2361266d7a1236175179836fa0ab1ae;cd4931bfe39c9fbb1fef7778bc6fa04d	1192929612;1194634321			
SRR27793156	PRJNA1071267	SRP486984	SRX23456782	SAMN39682106	SRS20309767	GSM8048018_r1	GSM8048018_r1	GSM8048018	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27793156/SRR27793156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27793156/SRR27793156_2.fastq.gz	028778b4fd81cad7a0bf5a0d917419db;0deb943e67278204bdc141ff48fb6821	538078977;537064621			
SRR27793158	PRJNA1071267	SRP486984	SRX23456780	SAMN39682108	SRS20309766	GSM8048016_r1	GSM8048016_r1	GSM8048016	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/058/SRR27793158/SRR27793158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/058/SRR27793158/SRR27793158_2.fastq.gz	bf1d91db6e30f323ff05e1e613b90b63;5103e68718b5e537c6dacf7ab6e7f496	525006496;522538863			
SRR27793159	PRJNA1071267	SRP486984	SRX23456779	SAMN39682109	SRS20309765	GSM8048015_r1	GSM8048015_r1	GSM8048015	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/059/SRR27793159/SRR27793159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/059/SRR27793159/SRR27793159_2.fastq.gz	e4c9fdf1b23735e0fe55002f3b5e9c09;e21def0ae78abed29a90e3e54f518ab3	492205264;491334363			
SRR27793163	PRJNA1071267	SRP486984	SRX23456775	SAMN39682113	SRS20309761	GSM8048011_r1	GSM8048011_r1	GSM8048011	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27793163/SRR27793163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27793163/SRR27793163_2.fastq.gz	0b944987fd30d367a6e322df2582457a;f6d7ff237bf6e2bce87b78d59ffd13e7	586722845;586646170			
SRR27793164	PRJNA1071267	SRP486984	SRX23456774	SAMN39682114	SRS20309760	GSM8048010_r1	GSM8048010_r1	GSM8048010	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/064/SRR27793164/SRR27793164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/064/SRR27793164/SRR27793164_2.fastq.gz	9c291b281e0c62fe22ea32e13526e004;aee97ffa9c691d2efed03e3136f2e129	460312623;459368076			
SRR27793165	PRJNA1071267	SRP486984	SRX23456773	SAMN39682115	SRS20309759	GSM8048009_r1	GSM8048009_r1	GSM8048009	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/065/SRR27793165/SRR27793165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/065/SRR27793165/SRR27793165_2.fastq.gz	9ac32a64b66d3ec9647b5f07b6f678f4;34c3a9ea9a681853f707afb9724e54d4	542834442;541915105			
